User Content,Assistant Content
"mexican, that doesn't matter.","would you like it to be vegetarian or it doesn't matter? i have tres hermanas, zocalo-midtown and el novillero."
okay.,did you know which one you wanted?
the first option.,i have sent the address to your email.
thank you.,bye.
hello.,"hello, how can i help you?"
"hi, today i need some help finding a restaurant. i'm looking in tracy, california. i'm looking for an italian restaurant.",okay great.
yep.,"are you looking for italian food, is that correct?"
yes. i'm looking for a restaurant that has a pretty good atmosphere and a place that they have a counter that i can order food as well.,"okay, well looks like there are a handful of italian restaurants around tracy california."
"now, i'm looking for the one that's rated four stars and up.",the first one with the highest rated reviews is called the milanos.  it has a rating of 4.4 and over 43 reviews.
"okay, that's actually pretty good. could i get a synopsis of what that restaurant is all about?","of course, here is milano unpretentious take-out restaurant serving pizza, halal meat kebabs, gyros & cheesesteaks."
"awesome, i'm looking for a gyro to eat and possibly some pizza. so, i'd like to eat there, what is their address?","milano's address is 567 w clover rd, tracy, ca 95376."
"okay, i got that. well, awesome. i'm glad that you found me a restaurant that i could eat at. i appreciate that a lot so.","okay, great. enjoy your night out."
i'm looking for a place to have dinner tonight.,"hello. how can i help you? sure. i can help with that. i see you are in laguna beach, california. is there a particular type of food or restaurant you’re looking for?"
mexican.,"great, i can find you mexican. are there any particular that you want in your restaurant?"
no. price point.,what price point would you like?
up to $15.,got it. available is wahoo's fish taco for baja fish taco or the stand natural foods. there's also jimboy's tacos.
something different?,"okay in your price range we also have subway. or taco bell. i'm sorry, i couldn't hear you."
taco bell.,you want to go to taco bell in laguna beach?
"yes, address?","address: 30022 crown valley pkwy, laguna niguel, ca 92677."
thank you.,until next time. bye.
can you help me find an italian restaurant?,sure thing. are you in la jolla california?
i am. i'd like to find something by the university.,"alright great, do you have a price range?"
moderate price.,how about restaurant style. do you want like a sit down or ordering out of counter?
"no, formal please. cozy atmosphere.",alright i got a perfect restaurant for you. it's actually the highest rated restaurant in la jolla for italian food. 4.8 stars out of 5.
that sounds perfect.,"it is called cantina percy table plaza center, this coastal italian specialty service of wood fired pizza and much more."
i'll take it.,"okay, you're all set. good bye."
"hi assistant, i'm looking for a place to have dinner tonight.","okay. you're in austin, right?"
yes.,"dinner in austin? okay, what else can you tell me?"
"yes, it's going to be me and my wife. and i think we're thinking chinese food.",alright. what else?
i don't really want to spend more than $50 a person.,sure thing.
"and if there is a place that isn't a buffet, that's what we'd want.","okay, what else?"
that's all i can think of.,sure thing i found 2 chinese restaurants.
all right.,"the first is called din ho chinese bbq. it has 4.1 stars. relaxed eatery serving an array of chinese favorites like duck & bbq pork, even a whole roasted pig."
all right.,"the second is called twin lion chinese restaurant. it has 4.3 stars. a large menu of traditional chinese dishes, plus some thai curries, served in a simple dining room."
"actually, i think i'd rather have a steak house.","okay, not a problem."
"and then, the same thing with that. i don't want to spend more than $50 a person. and it will still be me and my wife. and i want it to have good reviews, so about four stars.",what else can you tell me?
and then same thing with the.,sure thing.
the mourner's prayer still be mended - 50. i wanted to about four stars.,anything else?
that's it.,"alright, i found 2 steakhouses for you to choose from."
awesome.,the second is called longhorn steakhouse. it has 4.2 stars. casual steakhouse chain known for grilled beef & other american dishes in a ranch-style space.
what was the first one's name?,steiner ranch steakhouse.
"yeah, i think we'll go with that one.",okay.
"yeah, i think we'll go with that one.",here is the address. 5424 steiner ranch blvd.
perfect. i appreciate your help.,enjoy your meal there.
thank you.,goodbye.
"hello. yes, i'm looking for an italian restaurant tonight.","hi there, how may i help you? okay, an italian restaurant in austin, texas?"
correct.,alright. what else can you tell me?
a nice sit-down place with a full bar.,sure thing. what else?
an outdoor patio if possible.,okay.
"no, too far. something close by.",not too far where?
from me.,okay. anything else?
"yeah, i'd like a mom and pop restaurant. no chain restaurant.",sounds good.
thank you. i want a walk-in place. i don't want to have to make reservations.,alright.
let me see what you find.,how much for a meal?
no more than $35 a plate.,alright. i found 2 italian restaurants within walking distance.
perfect!,the first is called carmelo's. it has 3.9 stars.
okay.,"the old-world ambiance and traditional italian cuisine served up in a landmark downtown property. the second is called la traviata. it has 4.2 stars. this intimate, charming trattoria with large windows serves classic italian plates & wine."
you know what? i changed my mind. i'd like to go to a mexican restaurant instead.,"mexican, alright."
"yes. someplace that's known for their tacos, preferably.",sure thing. what else can you tell me about it?
i just want to walk in. i don't need to make a reservation.,okay.
a full bar would be nice.,anything else?
is sit-down patio possible?,okay.
let's see what you find.,alright. how much do you want to spend?
"no more than $25 a plate, tops.",alright. i found 2 mexican restaurants for you to dine at.
okay.,"the first is called manuel's. it has 3.8 stars. hip downtown eatery offering regional mexican cuisine, a boozy sunday brunch & live music."
"oh, well, nice.",the second is called iron cactus.
nice.,it has 3.8 stars.
okay.,"mexican meals & over 75 tequilas plus a bustling happy hour, three levels & a rooftop patio."
"i'll take the second one, please.",iron cactus it is?
yeah. please take the second one.,here is the address.
thank you.,606 trinity street. enjoy your meal.
thank you so much.,goodbye.
"yeah, i'm in charlotte, north carolina. i'm near the bank of america stadium, i need a place to eat dinner. i'm looking for a mexican restaurant with a full bar. can you get me it with a nice atmosphere?","hi, how can i help you? any other preferences for this restaurant?"
i'd like to have some help with finding a hotel. make sure its not more than $20 of pay.,okay. i have found a few places.
"give me the first one, please.",no. vida mexican kitchen and cantina.
can i have their address?,"its located at 210 e trade st, charlotte, nc 28202."
"oh, nice. that's nearby, i think i'm going there. thank you very much.",thank you.
i'd like help finding a restaurant.,okay. i can help you with that. what else?
"i'm looking for a restaurant in the austin, texas area.",okay. what else?
not too expensive. what kind of restaurants are there?,"there are american, barbecue, mexican, steak, grill, hot dog, italian, brazilian, seafood."
okay. i want a restaurant that is a sit-down casual restaurant.,"okay, sure thing. what else?"
i want to know what the ratings are for the restaurants you've listed?,what did you say?
i'd like to know what the ratings are for the restaurants you listed?,"oh, okay."
"okay, i want a restaurant that's 4.5-stars or higher.",the lowest rated restaurant that i have listed is 3.9 stars.
okay.,what else?
i'd like for the restaurant to be open late.,okay. is that all?
"yes, that's all.",let me describe a couple of options you can choose from. sounds good?
sounds good.,"the first is salty sow. it's rated 4.6 stars. braised, poached & stewed dishes, plus cocktails & craft brews, are served in a laid-back setting. the second is franklin barbecue. it's rated 4.6 stars as well. long lines form early for brisket, pulled pork & other smoked meats at this lunch-only spot."
first one.,okay.
thank you.,any other questions?
nope.,"okay, thank you. goodbye."
"hello. i'm looking for a restaurant in tracy, california.","hi, how may i help you? i'm sorry i did not catch that."
"i'm looking for a restaurant in tracy, california looking for a barbecue place.","okay, great."
looking for something with some outdoor seating and gluten-free options.,"bbq place in tracy california with outdoor seating and gluten-free options sound's good. so, it looks like m&j bistro is one of three restaurants that have gluten-free options. would you like to hear more? so, it looks like m&j bistro is one of three restaurants that have gluten-free options. would you like to hear more?"
okay. can you please give me more information and send me the address?,"well, m&j bistro is a upscale californian-french meals including crepes served with wine in a sleek, dark-hued setting. the address is 2503 n tracy blvd, tracy, ca 95376. the address is 2503 n tracy blvd, tracy, ca 95376."
that sound's good to me.,"yeah, do you want to see the menu as well?"
"no, that's all right.","okay well, what else can i do for you?"
"nope, that's all i needed. thank you.","you are all set, take care."
hi. i'm hungry.,hello. what kind of food are you looking for? and where are you located?
"i'm looking for pizza. and i'm in davis, california.",i'll look for some pizza places for you.
"no chain, please.","i found lamppost pizza for you. let me check for you. oh! sorry, it is a chain. let me look for a different place."
okay.,"i found village pizza and grill for you. yes, it is in downtown."
is it in downtown?,let me check that for you. give me a second.
did they sell pizza by slices?,i don't see that they serve just slices.
can you find some place for me that serves pizza by the slice? it should be in downtown in davis.,"okay, i'll look it for you. uncle vito's sells pizza by the slice."
is there any other place i've. had enough of uncle vito's pizza lately?,hold on just a second. blondie's sells pizza by the slice.
"okay, i'll go with this one, thank you for your help. i don't think it will be fine.",you're welcome. have a nice day.
what should i do for dinner tonight?,how can i help you? did you ask about dinner?
"yeah, what should i do for dinner?","would you like to order take-out, cook at home, or go out?"
i want takeout.,what kind of food would u like to order?
i prefer chinese food.,it is china live.
"oh, what's that?","it's a modern marketplace & culinary stop offering multi-course chinese fare, casual snacks & artisan teas."
what sort of teas do they have?,"they have 8 treasure teas which are lotus seed, longan, jasmine pearl, hawthorne, goji, jujubee date, rosebud & rock sugar. jasmine moulihuacha / green tea heady aroma, hand-rolled, organic tea. and chrysanthemum oolong juhuacha green flower tea sweet, floral, honeyed notes, malty richness."
"all right. and can i just go there, or do i have to make a reservation?",reservation not needed.
"all right, can you send me the address?","address: 644 broadway, san francisco, ca 94133."
"thanks, bye.",bye.
hello.,hi. how may i help you?
"i'm in washington, dc and i'd like to go out for dinner.","okay, great. what type of food do you want to eat tonight?"
cajun.,sure.
is there any place that has gluten-free options and daily specials?,any other preferences?
"no, that's it.",let me check that for you. there are three high rated cajun restaurants.
do any of them have gluten-free?,all the three are gluten free.
what's the highest rated?,the highest rated is 4.4 stars out of 5 and that is called ocwen's cajun creole.
i'll try that.,"alright, great. you are all booked for reservation for one person."
at what time?,"can you tell me the time, when would you like to go?"
okay.,"7:00 p.m, can you make it 7:15 p.m?"
that's fine. can i have the address?,"here is the address: 9110 center st, manassas, va 20110."
thanks and bye.,bye.
i'm looking for a place to have dinner tonight.,"okay, i can help with that. i see you're in austin. is that right? i see you're in austin. is that right?"
yes.,okay. what type of food you were looking for? what type of food you were looking for?
i'm looking for a place to have italian food.,"okay, what else?"
i would like it to be a place that's not too loud and a place that's close to the middle of the city.,"okay, what else?"
"i'd like it to be not too expensive, like maybe $15 a plate.","sure thing, what else?"
i think that's all.,okay. i found 2 italian restaurants for you to choose from. i found 2 italian restaurants for you to choose from. the first is called winflo osteria. it has 4.2 stars. brick-oven pizzas & italian comfort food served in circa-1922 rustic-chic bungalow with big deck. it has 4.2 stars. brick-oven pizzas & italian comfort food served in circa-1922 rustic-chic bungalow with big deck. the second is called carrabba's. it has 3.8 stars. chain eatery & bar serving a diverse menu of classic italian fare in a family-friendly setting. which one? it has 3.8 stars. chain eatery & bar serving a diverse menu of classic italian fare in a family-friendly setting. which one?
"actually, i think i'd like to have sushi instead.","alright, sushi it is. what can you tell me about it? what can you tell me about it?"
i'd like it to be vegetarian sushi.,"okay, what else?"
"not too expensive, maybe $8 a roll.","okay, anything else?"
"no, that's all.","okay. i found 2 sushi places for you. i found 2 sushi places for you. the first is called xian sushi and noodle. it has 4.3 stars. asian eatery serving hand-pulled chinese noodles & signature sushi rolls in a comfy, casual setting. it has 4.3 stars. asian eatery serving hand-pulled chinese noodles & signature sushi rolls in a comfy, casual setting. the second is called lucky robot, it has 4.3 stars. hip option for tokyo-inspired street fare including asian tacos, sushi & dumplings, plus sake punch. those are the two options. which one? hip option for tokyo-inspired street fare including asian tacos, sushi & dumplings, plus sake punch. those are the two options. which one?"
lucky robot.,okay. here is the address 1303 south congress ave. here is the address 1303 south congress ave.
thank you.,good bye.
"hello, i'm looking for a restraunt which serves good food.","okay, what type of food are you looking for?"
barberian food.,"okay, tell me more."
something with a lot of options like chicken and ham and different side dishes.,"okay, how about pricing?"
i would like to spent under $20 a person.,"okay, how about atmosphere? any preferences?"
"well, i don't want to sit in a bar. i'd like to sit indoors.",okay. what time do you want to eat?
i would like to eat at 6:00 p.m.,okay. any other preferences.
"oh! i forgot. we are going for a lunch, so i guess 11:30 a.m. would be better.","okay, that's not a problem. any other preferences?"
no. i can't think of anything.,give me one moment. alright. i have 2 options for you. the first is called wildfin american grill. let me get more info.
okay.,"local chain grilling up pacific northwest steak, seafood & wine in a rustic-chic space. it's rated 4.1 stars."
"okay, that sounds pretty good. can i get to know about any other place?","yes, you can. one moment. it's called americana restaurant. let me get more info. its a cozy american bistro with comfort food such as chicken, andouille, sausage, corndogs & popular brunch."
i'd like to make a reservation at the first one that had seafood and iguana grill.,"yeah, wildfin american grill."
"yes, correct.","on which day, you would prefer a reservation?"
tomorrow would be fine.,"okay, at 11:30 a.m. right?"
"yes, its right.",for 2 people?
perfect.,one moment. okay. i've booked your reservation. you're all set.
great. thank you.,anything else?
no. that's it.,"okay, have fun at wildfin american grill."
thanks for your help.,goodbye.
i'm looking for a place to have dinner tonight.,"i see that you're in austin, texas.  is that where you would like me to find you a restaurant?"
yes.,what kind of food are you in the mood for today?
i'm looking for seafood restaurant.,okay got it. you want a seafood. tell me more about? what else you're looking for in the restaurant so that i can narrow your choices down.
that serves rose wine cocktails.,"okay, no problem. is there a particular price point that you're looking for or star rating? is there a particular price point that you're looking for or star rating?"
at least three stars and prices doesn't matter.,"okay, so i look for restaurant for you then? i have a restaurant called kyōten sushiko. it has 4.4 stars. i have a restaurant called kyōten sushiko. it has 4.4 stars."
"actually, i think i'd rather have vietnamese.","no problem. i found a good vietnamese restaura pho, vermicelli & other traditional vietnamese dishes served in an unassuming space. i found a good vietnamese restaura pho, vermicelli & other traditional vietnamese dishes served in an unassuming space."
that would be fine.,would you like to hear more about their menu?
that's fine.,is that a yes or no?
no.,"would you like a reservation, the address, the phone number or the hours?"
"yes, a reservation.","okay, how many people in till what time?"
two people 7:00 p.m. tonight.,confirmed reservation for two people. let me get you their address.
okay.,they are located at 601 ohlen rd.
okay.,enjoy your dinner!
thank you.,until next time. bye.
i'm looking for a place to have dinner tonight.,"hi, how can i help you? i see that you're in austin texas, is that where you would like me to find you a restaurant?"
yes.,what kind of food are you in the mood for today?
thai food.,what are you looking for in the restaurant?'
sit-down somewhat upscale.,"okay, got it. anything else?"
"really high reviews, like four stars and up.",no problem. what else?
i guess free parking outside.,"okay, got it. let me find some restaurants for you that fit these requirements."
okay.,"i found a good match for you at the restaurant is called sway. it has 4.5 stars out of 5 and has curries, seafood & creative desserts draw fans to this hip thai eatery with an open kitchen."
"actually, i'd rather have french food.",no problem to have the same requirements for the same restaurant as you did the thai?
i definitely want four stars and up and free parking. yes.,"okay, do you also want good ratings?"
"and also, i'd like some dinner specials.","sure, let me find that for you."
okay.,just one moment.
okay.,"i found a restaurant called the blue dahlia bistro. the restaurant is described as light bites, tartines & big plates served in a casual interior or on the garden like back patio. one of their speacials is a seared sashimi tuna steak seasoned seared sashimi tuna steak seasoned $16.95 with lemon pepper and served with seasonal vegetables."
sounds good.,"would you like a reservation, the address, the phone number or the hours?"
"send me the details, would you?",sure.
thanks.,"their address is 1115 e 11th st, austin, tx 78702."
sounds good.,they are open from 8 am to 10 pm.
okay. cool.,and their phone number is (512) 542-9542.
okay. thanks. bye.,bye. see you later.
"yes. i'd like help in finding a restaurant in rochester, new york.",okay. where in rochester?
i'd pick anywhere.,okay.
which type of food is available?,"there are american, barbecue, chinese, french, hamburger, indian, italian, japanese, mexican, pizza, seafood, steak, sushi and thai."
okay.,which one?
"good, i like to know the price of a sandwich about indian photo.",okay. indian food.
yeah. how much it cost to available indian food?,how much do you want pay?
i'd like to choose cheapest.,prices can be cheap to moderately expensive. which one do you want?
and also i like to know that most beer.,what kind of atmosphere do you want?
near the sea or near the beach.,okay.
yes. that's right.,you want near some kind of body of water.
"yes, that's right.",okay.
"and also, my rating and reviews is three star or four star.",got it. is that all?
yeah. i'd like to know the hours of the restaurant and meal time.,could you ask that again?
"good. and, anything special on that restaurant?",hours can range from 11:30 am in the morning and close at 10 pm at night.
"i think i have enough information from you. and, thanks for your assistance. thank you so much.",i have 2 restaurants for you to choose from.
yeah. i'd like to choose the first one.,the first is called amaya indian cuisine. it has 3.8 stars. traditional indian dishes & a lunchtime buffet offered in an elegant establishment with a full bar. the second is called india house restaurant. it has 3.6 stars. north & south indian cuisine includes fresh breads & a daily lunch buffet in homey quarters. which one do you want? amaya indian cuisine.
"and, thanks for assistance.",okay.
"okay, good.",it's located on 1900's clinton ave. any questions?
bye. no more questions. thank you so much.,goodbye.
"hi, i'd like help in finding a restaurant. is there an italian auction?","hi, how can i help you? okay, where are you located?"
"austin, texas.","okay and what type of food would you like? okay there is american, indian, chinese and italian. what are your requirements?"
not too expensive.,"okay, i can look that up for you!"
"perhaps a casual sit down kind of place. can you find one with a rating above 4-stars? i would also like them to be open somewhat late, after 8:00 pm.",okay any other requirements?
what ratings are there for the restaurant you have?,i do see majority of ratings are 3.9 stars and up.
can you find one with the rating above 4 stars?,"yes, i can do that. okay, perfect! i think, i found a few options. let me list them out for you. i have located siena restaurant and roma italian kitchen. do you want to know more information?"
"yes, can you give me more information on sienna kitchen?","yes, i can do that for you. let me look that up. siena ristorante, you are able to make reservations online and or on the phone, it is the diners choice award winner for 2015."
that sounds good. i'd like to choose that one.,"okay, perfect. did you want to know the number?"
yes.,here is the number. (512) 349-7667.
"great, thank you.",your welcome! enjoy your meal! goodbye.
hi. i would like eat something tonight.,"okay, what are you looking to eat tonight?"
some american cuisine.,"alright, looks like there is a handful of restaurants to choose from sebastopol, california for american food."
i need something with an outdoor seating and a live music.,okay. i found the perfect restaurant for you. it has an outdoor seating and a live music. it is called woodfour brewing company.
sounds good. can you send me the address?,"roomy brewpub pairs seasonal californian eats with home-brewed beers in a modern space with a patio. the address is 6780 depot st, sebastopol, ca 95472 for woodfour brewing company."
"perfect, thank you.",you're welcome.
i am looking for a place to have dinner tonight.,"i see you are in austin, texas. is that right?"
"yes, i would like to have barbecue.",what atmosphere do you prefer?
i want a bar.,do you have a price limit?
no more than $25 per person.,how many restaurant star rating?
four or five.,i found a spot for you. county line.
"actually, i would rather have thai food.",no problem. what atmosphere do you prefer?
casual.,how many restaurant star rating?
four or five.,do you have a price limit?
$25 per person or less.,i found a place. sap's fine thai cuisine. cheery eatery with colorful umbrellas on the ceiling & a menu of classic thai entrees & desserts.
thank you. where is it?,"5800 burnet rd, austin, tx 78756."
"okay, thanks.",enjoy your meal.
"i'm looking for a restaurant tonight. i'm in baltimore, maryland.","hi, how can i help you? ok. what type of food are you in the mood for?"
i'm looking for whatever type of food but it's important that it's an outdoor sea area and that i can order at the counter.,you got it! let me pull some places for you. hold. just a moment.
okay.,"blue pit bbq & whiskey bar with a 4.6 star rating. laid-back hangout with many whiskey options, outdoor seating & a menu of smoked meats & sandwiches. located at 1601 union ave, baltimore, md 21211. does that sound to your liking?"
yes.,"ok, great! their timings are from 11:30a.m. to 2a.m."
"okay, so send me directions.","1601 union ave, baltimore, md 21211."
okay.,hope you enjoy your meal.!
thank you.,you are welcome. goodbye.
hey. i'm looking for a restaurant.,hello.
i'm looking to have thai food.,what else can you tell me?
"i'd like it to be romantic style, if possible.",what else?
i'd like it to be in the center of the city.,center of which city?
"i'm in rochester, new york.",alright. what else?
good ratings like four plus.,okay.
and it should have authentic thai desserts. possibly less than $100 per person. that's all.,"okay. the first one is esan thai restaurant. it has an extensive menu from tom yum salads to squid panang, it has 4 stars. the second is called the king and cuisine of thailand and it has 4.2 stars. spiced-to-order thai dishes with a vegetarian menu & lunch platters in a strip-mall space. spiced-to-order thai dishes with a vegetarian menu & lunch platters in a strip-mall space. those are the two options. which one do you prefer?"
the first one.,esan thai restaurants.
yes.,"okay, goodbye."
"what are the opening hours for the seasons restaurant in davis, california on sunday?",the opening hours for this sunday are 11:00 a.m to 2:00 p.m and 5:00 p.m to 8:00 p.m.
and is there a dress code?,"no dress code, casual attire would be fine."
okay. and do you know if they have cocktails?,"yes, they do have a full bar."
"perfect. and how long is the drive from fairfield, california to this restaurant?",it's around 30 minutes.
okay. thank you.,bye.
"hi assistant. i'm in la jolla, california.",hi user. okay i can find a steakhouse for you.
i like organic choices and a cozy feel.,"okay give me a few moments while i pull that up for you,hold one sec. barbarella restaurant & bar, located at 2171 avenida de la playa, la jolla, ca 92037."
that sounds something i want. i'll take it.,perfect.
thank you.,you're welcome. enjoy your meal.
bye.,good bye.
"i'm in la jolla, california and i need to find a place to get smoothies.",hello. how can i help you? i have found few options for you.
okay.,how about lean and green cafe la jolla or seaside smoothie or jamba juice la jolla village square.
i'll take jamba juice.,would you like me to provide the address to you?
yes.,"jamba juice la jolla village square is located at 8657 villa la jolla dr #101, la jolla, ca 92037."
"okay, thank you. that's all.",you're welcome.
thank you.,bye. until next time.
i'm looking for a place to have dinner tonight.,okay. i can help you with that. i see you're in austin. is that right? is that right?
yes.,alright. what can you tell me? what can you tell me?
i've been looking for a chinese place. probably in downtown austin. what can you tell me i've been looking for a chinese ugly and demi's play downtown austin.,sure thing. what else? what else?
"has to have good reviews. probably, at least, four stars. four stars",okay. what else? what else?
probably around something under like $35 an entree.,okay. anything else? anything else?
that's it.,"alright. i found 2 chinese restaurants for you to choose from. the first is called chinatown. it has 4 stars. attractive dining room for homestyle chinese cooking with emphasis on hunan dishes & dim sum. it has 4 stars. attractive dining room for homestyle chinese cooking with emphasis on hunan dishes & dim sum. the second is called asia cafe. it has 4.3 stars. a mix of classic & less common chinese dishes, from general tso's chicken to cheese wontons. a mix of classic & less common chinese dishes, from general tso's chicken to cheese wontons. those are the two options. which one do you want?"
actually never thought about it. can i switch to have italian food?,"sure, you can. what else can you tell me about it? what else can you tell me about it?"
same requirements as the chinese place. someplace downtown under $35. good reviews.,"alright. i found 2 italian restaurants. i found 2 italian restaurants. the first is called north italia. it has 4.2 stars. the domain's buzzy, modern option with a patio for thin-crust pizzas & sophisticated italian fare. it has 4.2 stars. the domain's buzzy, modern option with a patio for thin-crust pizzas & sophisticated italian fare. the second is called mandola's. it has 4.2 stars. busy trattoria offering homestyle italian cuisine, plus an old-school grocery for provisions & wine."
the first one sounds fine.,"busy trattoria offering homestyle italian cuisine, plus an old-school grocery for provisions & wine. those are the two options. which one do you want? north italia."
yes.,alright. here is the address. 11506 century oaks terrace. here is the address. 11506 century oaks terrace.
thank you.,enjoy your meal there. goodbye. goodbye.
"ah, yes. i'm looking for a sandwich shop to eat dinner at.","hello. how can i help you? sure, let me check that for you. i see that you are in santa cruz. is that where you want me to find one?"
"yes, please.","okay, i found five places."
okay.,"zoccoli's delicatessen, at 1534 pacific avenue. next, the sandwich spot, at 1010 pacific avenue. here’s the next one. erik’s deli cafe, at 155 walnut avenue. here’s the next one. togo’s sandwiches, at 902 ocean street. last one. the picnic basket, at 125 beach street. what sounds good?"
could you tell me about zoccoli's? it was the first one.,"stockley has 4.5 stars out of 5 zoccoli's delicatessen. established italian deli featuring gourmet sandwiches, pastas & salads, plus outdoor seating."
okay. what can you tell me about the sandwich spot.?,"it is a regional chain known for original, cheekily named sandwiches plus a build-your-own option & salads."
okay. how about the picnic place?,the picnic place is a counter-serve cafe near the santa cruz boardwalk offers locally sourced american eats and a patio.
"yeah, i think the best one for me was the first one. could you give me the location?",1534 pacific avenue.
okay. and the phone number?,(831) 423-1711.
"okay, thank you.",you're welcome. bye. see you later.
what should i do for dinner tonight? hello.,"hi, how can i help you? i can help you with that. would you like to order-in, go-out or cook at home?"
i think i'd like to go-out.,what do you like to eat?
i think something comfort food would be good today.,where are you located?
"i'm in sacramento, california.","i found cora lorraine's soul food. late-night food, comfort food and small plates."
okay. i'll check that out. what's the address?,"4147 23rd ave, sacramento, ca 95820. do you like sea food?"
i do. i think i'll check that one out.,okay. do you need anything else?
"no, that's all. thank you.",you're welcome. bye.
yeah. i'd like to eat sandwich. are their any sandwich shops near here?,"how can i help you? sure, let me check that for you. i see that you're in santa cruz. is that where you want me to find one?"
yeah.,"okay, i found five places."
yes.,"zoccoli's delicatessen. established italian deli featuring gourmet sandwiches, pastas & salads, plus outdoor seating. next is the sandwich spot. regional chain known for original, cheekily named sandwiches plus a build-your-own option & salads. here’s the next one erik’s deli cafe. casual cafe chain serving gourmet deli sandwiches, house made soups, salads & baked goods. here’s another one togo’s sandwiches. counter-service chain offering made-to-order hot & cold sandwiches in straightforward surroundings. last one is the picnic basket. counter-serve cafe near the santa cruz boardwalk offers locally sourced american eats and a patio. last one"
the picnic basket sounds good.,what sounds good?
the picnic baskets was good.,"sure, what else would you like to know more about their menu, their hours or ratings?"
what are their hours?,they are open from 7 am to 4 pm.
what about erik's deli? when is that open? it was still in odessa.,erik's deli is open at 9 am and closes at 8 pm.
okay. i think i'll go to erik's deli.,"sure, do you want their address?"
"yes, please.",they're located at 155 walnut avenue.
"no, that's it.",is there anything more i can assist with?
thanks.,"you're welcome, bye."
"i was wondering if i could ask you some questions about the seasons restaurant in davis, california.",how can i help you? ask away.
"okay, when are they open for dinner on sundays?",on sunday there hours of operation for dinner are 5 to 8 p.m.
"okay, do they take reservations?",seasons restaurant does take reservations.
"okay, and what kind of appetizers do they have?","for their dinner at seasons restaurants, they have a variety of appetizers that include wood-oven warm goat cheese, warm california olives, and marcona almonds, peppered ahi tuna and about 6 other dishes."
"okay, how long is the drive from fairfield, california?","depending on traffic, the drive could take about 45 minutes to an hour."
"okay, thank you.","no problem, enjoy your dinner."
"hello. i'd like to find a restaurant in rochester, new york.","hi. okay, i can help you with that."
i would like to find an italian restaurant near the holiday inn in downtown rochester.,let me see what italian restaurants are nearby the holiday inn in downtown rochester?
i would like to go to 5:00 p.m. in the evening and i would like the ratings to be three or above on google.,"okay, let me see what i can find. do you have a price point?"
"right, the price point is between $13 to $25 per meal. i want the atmosphere to be quiet.","okay, let me check on this. when will you be dining?"
tomorrow at 5:00 p.m. i would like the restaurant style to be a sit-down type of atmosphere.,"okay. i found a few italian restaurants near the holiday inn in rochester, new york."
great. tell me about them.,i have tony d's which has a 4.2 star rating. they have a great wine list.
anything else?,"i also have bacco's ristorante, which is a cozy italian restaurant."
do you have terza on your list?,i'm not seeing that restaurant.
"okay, i chose bacco's ristorante then. bacco's ristorante sounds great.","okay, would you like the address for bacco's ristorante?"
"yes, i would like the address, please.","here is the address 263 park ave, rochester, ny 14607."
alright. that sounds great.,anything else?
nothing else. thank you for helping me.,you're welcome.
"i'd like to find a restaurant in chico, california.",okay. i can help you with that. what else can you tell me?
i'd like it to be cheap and not too noisy.,okay. what else?
i would like it to be hamburgers and with a four star rating or higher.,okay.
and also open for breakfast and that's it.,okay.
that's it.,let me describe a couple of options you can choose from. sounds good?
yes.,the first is the red tavern. it has 4.2 stars. wines & a seasonal american & mediterranean menu in a garden bistro with a bocce court & live music.
that sounds perfect.,the second is cozy diner. it has 3.7 stars. straightforward venue for down-home american comfort food like chicken-fried steak & burgers. those are the two options.
let's do the second one.,cozy diner?
yes. thank you.,any questions?
thank you. no.,thank you. goodbye.
"i'd like help finding a restaurant in austin, texas.","okay, where in austin?"
huntingtown please.,and what kind of food?
"i would like a burger restaurant, please.",okay and what else are you looking for?
i would like it to be cheap and i want to eat there around lunch time.,okay how cheap?
no more than $10 a meal.,okay and at what time?
around 12:00 lunch.,okay and how high do you want the ratings?
above three out of five.,"okay, anything else?"
"no, that is all. thanks.","okay, i have found two restaurants. burger bar with 4.3 stars. walk-up window at the jw marriott hotel offers a modern counter for burgers, fries & shakes and hut's hamburgers at 4.1 stars. classic austin, family-friendly & known for burgers & malts since 1939. which one?"
"which one i'm not sure, i'll choose in my own time. thank you.",okay. you have to choose now though if you want the code.
can you tell me the restaurant names again?,burger bar was the first and huts hambergers.
"i will go for burger bar, please.",okay. goodbye.
"i'm planning a special dinner at mother in sacramento, california.",sure.
when are they open for dinner on sunday?,okay. hold on. they are closed on sunday's.
what is the atmosphere of the restaurant?,hipster ambiance with average noise level.
do they have vegetarian options?,"yes, they specialize in vegan and vegetarian options."
what hotel accommodations are nearby?,got it. just a moment. the westin hotel.
okay.,is there anything else you need?
that'll be all.,bye. until next time.
hello.,hey.
how are you doing? i need help today finding a restaurant.,good. sure thing. where do you want the restaurant?
"awesome. right now, i'm in new orleans.",perfect. how do you sound like tonight?
i'm looking for italian.,italian great.
i'm looking to spend up to $100 in total.,"well, do you want casual or non-casual?"
casual.,"okay, perfect."
i'm looking for a four-star rated restaurant or better.,alright. is there a particular thing that is most important to you when searching for restaurants?
"just criteria that of a four-star rating, and the kind of food that i'm looking for.",yes. of course.
awesome. whichever one is rated the highest. i think.,okay sure. but do you want an open bar?
a bar i'm not worried about.,so the highest rated one has called marciano's restaurant and wine bar.
